Kind;Digital AF/AE single-lens reflex camera with built-in flash
Image Format;22.3 x 14.9 mm (APS-C size)
Focal length;35mm-equivalent focal length is approx.1.6x the lens focal length
Application;Approx. 0.85x / 23.8° (with 50mm lens at infinity -1 m-1 (dpt))
Effective Pixels; Approx. 18.0 megapixels
Aspect Ratio;3:2 (Horizontal : Vertical)
Color Temperature;"Blue/amber bias: ±9 levels,
Magenta/green bias: ±9 levels,
White balance bracketing: ±3 levels in single-level increments"
Image sensor;"High sensitivity CMOS sensor,
High resolution and a single large plate,
CMOS dedicated for the TTL-CT-SIR Automatic Approach"
AF operation range (Automatic Focus);"9 points,
EV from -0.5 to 18 (at 23 ° F / 73 ° C and ISO 100, according to Canon's test standards)"
ISO Speed Range;Automatic ISO from 100 to 6400
Flash coverage;Up to 17 mm focal length
Coverage;Vertical / horizontal approx. 95%
Brand;Canon
Model;Rebel T3i
